id,incoming0,outgoing0,incoming1,outgoing1
8317,20588,30989,801,307
8325,16598,19094,55,70
8326,19366,19645,301,143
8327,18269,12726,88,71
8335,12253,16522,441,341
8336,11982,11405,281,146
8337,6964,9087,141,91
8415,31732,38384,513,237
8416,29311,36796,281,408
8417,12537,22583,202,199
8421,62316,21083,577,182
8425,18772,49308,298,150
8426,23448,26297,271,115
8435,23092,20826,532,241
8436,30352,31395,383,232
8437,11387,18251,34,105
9161,62828,19795,1190,158
9162,383680,185152,17080,5451
9163,22222,13930,190,61
9171,13685,14615,122,71
9172,4299,6551,208,55
9173,9197,23125,111,186
9174,18132,45024,381,188
9175,21428,42029,214,214
9176,18392,35119,352,76
9177,19211,37075,263,166
9178,44601,46420,1418,244
9179,20954,59969,376,292
9180,4117,8483,18,104
9181,15022,23925,133,115
9182,11576,15854,211,134
9183,11513,19144,112,120
9184,182765,90943,5264,799
9185,10711,20970,184,77
9186,18665,33643,914,115
9187,24265,44179,486,292
9188,30383,28591,555,194
9189,13646,17054,220,113
9190,14622,20253,69,121
9261,23656,15912,17,47
9262,24904,5731,189,68
9263,17806,7461,26,21
9271,13701,15191,518,78
9272,4170,11315,16,29
9273,10521,24940,275,130
9274,19894,38726,343,133
9275,13177,31949,65,90
9276,4406,8802,233,25
9277,8158,17696,110,605
9278,9492,26305,96,50
9279,19648,14317,68,43
9361,17097,6765,126,22
9362,77656,18866,713,264
9363,16290,6493,127,21
9371,9570,24765,61,55
9372,7061,12431,199,34
9373,10944,19438,653,80
9374,10389,20048,172,26
9375,20068,55822,276,170
9376,13857,23653,440,75
9377,5803,11728,239,55
9461,35600,11462,458,189
9462,26668,7659,1052,224
9463,18780,5882,4158,625
9464,10377,6154,3057,533
9471,15021,41464,609,223
9472,8002,28054,267,152
9473,7334,20086,5610,2005
9474,11024,29619,108,116
9475,10379,14443,4131,853
9476,3506,7711,2856,1546
9477,7662,10976,445,192
9478,8922,9767,839,339
9479,6843,7238,499,194
9561,17248,7061,70,28
9562,60497,18373,1295,203
9563,30753,39664,328,260
9564,155525,69823,5972,1302
9565,10213,10804,76,28
9571,15047,33523,155,122
9572,29439,36939,437,171
9573,12696,36827,115,116
9574,20704,37649,580,161
9575,7938,17965,27,65
9576,14566,29316,318,96
9577,6212,12704,74,67
9661,32141,14850,117,53
9662,39442,6981,395,47
9663,56514,17962,594,304
9671,22233,42590,311,218
9672,8407,15390,506,213
9673,4848,8609,3704,819
9674,6816,15145,650,122
9675,9847,15284,200,60
9676,11758,22254,125,72
9677,11399,19138,269,93
9678,10770,33949,344,121
9679,17784,45914,526,209
9761,73422,50061,695,412
9762,9211,8566,262,29
9763,20476,12643,70,45
9764,18905,6911,51,39
9771,15151,34792,87,88
9772,34756,63373,317,179
9773,8549,16420,52,39
9774,13748,17461,183,58
9775,28199,38709,382,109
9776,9007,9478,138,50
9777,13936,23875,171,72
9778,17160,27878,129,208
9779,16628,13892,279,102
9780,14479,24222,285,88
10041,57528,35159,845,407
10042,10708,14686,93,41
10043,17922,28644,75,96
10044,23420,28849,62,107
10045,32665,23751,135,147
10046,9494,16063,49,29
11000,75674,85042,252354,102030
12051,12,453,11637,8788
12052,109,790,20529,11516
12053,60,252,12202,6046
12054,2663,2699,44340,31962
12060,199,2252,16138,38207
12061,502,2576,28996,34811
12062,75,704,6092,11693
12063,177,2022,13546,32953
12064,241,2000,17455,41912
12065,309,2537,18028,43726
12066,194,918,13550,14556
12067,241,1475,14450,28490
12068,149,759,6793,9166
12069,1235,3406,27832,51135
12070,94,1526,4943,5502
12071,41,730,12622,19976
12072,544,2071,25343,34212
12073,35,1206,5009,8361
13003,1206,4139,32140,18023
13004,1300,2532,23646,7310
13071,589,3283,11291,12544
13072,577,4379,20185,31388
13073,825,3722,6883,13560
13074,3335,13061,6335,11656
13075,505,3977,9699,12498
13076,3309,14362,9066,20471
14511,1505,3034,48653,23777
14521,436,3713,15186,31166
14522,233,3629,25552,35499
14523,934,8068,10411,12135
14524,556,3702,29769,29896
14612,4018,8685,89747,47111
14625,281,2636,24838,32183
14626,210,2457,7470,14807
14627,416,2229,27812,32710
14628,94,2174,21707,39725
14713,5096,13020,90690,52333
14729,234,3757,26600,48865
14730,306,3006,28813,33973
15001,58,738,12591,8323
15002,996,3852,38644,25948
15003,1829,5771,41203,22675
15081,1678,8868,3826,4401
15082,256,2267,15129,20339
15083,1519,11486,19760,22176
15084,443,5222,11699,20338
15085,2103,12019,6293,9112
15086,173,1476,7609,14504
15087,239,2292,7908,13737
15088,583,3270,31711,37006
15089,343,3100,13926,21209
15090,221,2969,5437,9579
15091,187,1344,6820,12998
16051,1808,3900,44420,19441
16052,142,1056,14635,11426
16053,996,1307,24281,9233
16054,137,690,7879,5131
16055,94,713,11339,10244
16056,773,998,11309,5516
16061,2531,11053,5964,3852
16062,993,2898,5243,5699
16063,3052,8937,10410,13371
16064,576,2707,6881,10450
16065,51,1100,4090,10802
16066,1047,6637,8652,11537
16067,342,1950,11108,15911
16068,22,1005,9165,11545
16069,1145,7062,3104,5586
16070,421,1934,9746,12490
16071,66,817,10200,17195
16072,3285,7104,2886,1929
16073,93,2239,5447,8838
16074,13,915,10416,16556
16075,523,3414,6193,7239
16076,118,1230,9973,16619
16077,38,982,6575,11197
