state,county,cohort,in_lf_ilo,employed_ilo,unemployed_ilo,unemployed_status,paidwork_lastweek,lfp_1plushour,fulltime,parttime,public_employment,commuter,age,male,married,income_onehalf_lb,W
1,1001,1,0.8095776438713074,NA,NA,0.05074424296617508,NA,NA,0.7402466535568237,0.25975334644317627,0.17959071695804596,0.8278007507324219,50.40406036376953,0.5516921877861023,0.5236279964447021,1561.3792724609375,5136.366000000001
1,1001,2,0.8529667854309082,0.7700324654579163,0.08293431997299194,0.1111106425523758,0.8796444535255432,NA,0.7417659759521484,0.25823402404785156,0.24265031516551971,0.6401119232177734,45.56229019165039,0.4809929132461548,0.5077934265136719,1853.169921875,5702.766
1,1001,3,0.8352871537208557,NA,NA,0.060984205454587936,0.8164446353912354,NA,0.6690744757652283,0.3309255540370941,0.13247960805892944,0.7489574551582336,39.55374526977539,0.5092436671257019,0.603689968585968,1717.189697265625,4289.75
1,1001,4,0.6803838014602661,NA,NA,0.11250206083059311,0.9109900593757629,NA,0.7542054057121277,0.24579459428787231,0.18068456649780273,0.7261587977409363,34.4912109375,0.6356366872787476,0.27155837416648865,1269.305908203125,4456.736
1,1001,5,0.7417871356010437,0.6867724061012268,0.05501476302742958,0.06946080923080444,0.9242521524429321,NA,0.7145671844482422,0.2854327857494354,0.14159424602985382,0.655309796333313,29.181737899780273,0.5494260787963867,0.4292955696582794,1326.07275390625,6911.580999999998
1,1001,6,0.6911025047302246,0.6141054630279541,0.07699701935052872,NA,0.916814923286438,NA,0.4291281998157501,0.5708718299865723,0.12366030365228653,0.7080798149108887,23.747472763061523,0.5730302929878235,NA,991.5484619140625,11799.663999999995
1,1001,7,0.3761049807071686,0.26912206411361694,0.10698290914297104,0.13174661993980408,NA,NA,0.49557819962501526,0.5044218301773071,NA,0.651081383228302,19.17938232421875,0.47720324993133545,NA,590.63592529296875,6140.719000000002
1,1002,1,0.858625590801239,0.8230178952217102,0.03560766950249672,0.0637611597776413,0.8570082783699036,NA,0.6797652244567871,0.3202347755432129,0.2749471366405487,0.7620518207550049,50.6065673828125,0.523603081703186,0.5108716487884521,2190.6181640625,18530.67000000001
1,1002,2,0.8363240957260132,NA,NA,0.06233947351574898,0.884171724319458,NA,0.7076332569122314,0.29236674308776855,0.24463626742362976,0.7392187714576721,45.556427001953125,0.4562797248363495,0.5515194535255432,2291.343994140625,15058.966000000004
1,1002,3,0.794449508190155,NA,NA,0.5201588273048401,0.9222450256347656,NA,0.6983311772346497,0.30166882276535034,0.19927182793617249,0.7749713659286499,39.593624114990234,0.5058825612068176,0.5605013370513916,1972.8009033203125,15026.896999999997
1,1002,4,0.8590803742408752,0.8064842224121094,0.05259612202644348,0.36389201879501343,0.8626458048820496,NA,0.7194154858589172,0.2805844843387604,0.29622846841812134,0.7592601180076599,34.54497146606445,0.5020010471343994,0.40805044770240784,1740.08349609375,17313.65300000001
1,1002,5,0.8104080557823181,0.7597993612289429,0.05060872435569763,0.1106073334813118,0.9118947982788086,NA,0.6558931469917297,0.34410688281059265,0.33079466223716736,0.6868528127670288,29.233320236206055,0.5622333288192749,0.19909603893756866,1564.604736328125,23546.63100000001
1,1002,6,0.6560680866241455,0.5962074398994446,0.05986066907644272,0.17295828461647034,0.8456144332885742,NA,0.44550174474716187,0.5544982552528381,0.25593632459640503,0.7351023554801941,23.68246841430664,0.4681333601474762,0.06508664041757584,935.5596923828125,22428.182
1,1002,7,0.4756314158439636,0.44477513432502747,0.030856287106871605,0.06548725813627243,0.9465942978858948,NA,0.5000012516975403,0.4999987483024597,0.18424932658672333,0.869974672794342,18.923236846923828,0.4306100308895111,NA,640.12469482421875,14323.305
1,1003,1,0.8540462851524353,NA,NA,0.062112919986248016,0.8216701745986938,NA,0.7980489730834961,0.2019510269165039,0.23009003698825836,0.7576926350593567,50.515724182128906,0.5272021889686584,0.4917607605457306,2038.3118896484375,14720.511999999997
1,1003,2,0.8834350109100342,0.8597246408462524,0.02371039427816868,0.09998961538076401,0.8787165284156799,NA,0.7648802995681763,0.23511970043182373,0.18134064972400665,0.7901352643966675,45.500694274902344,0.4632129967212677,0.5495288968086243,2203.1162109375,14804.857000000002
1,1003,3,0.8097435832023621,NA,NA,0.10095875710248947,0.8806254863739014,NA,0.6104837656021118,0.3895162343978882,0.15483637154102325,0.7224920988082886,39.5085563659668,0.4372279942035675,0.5935379266738892,1802.77685546875,11906.316999999995
1,1003,4,0.784727931022644,0.7127816677093506,0.07194624841213226,0.0900280699133873,0.8569760918617249,NA,0.7420520782470703,0.2579479217529297,0.16762031614780426,0.6992406845092773,34.37590026855469,0.5903080105781555,0.39215362071990967,1489.0208740234375,13678.601
1,1003,5,0.763713002204895,0.716718316078186,0.04699473828077316,0.09909087419509888,0.7969891428947449,NA,0.7851842641830444,0.21481573581695557,0.2223379909992218,0.7861815690994263,29.42775535583496,0.5836228728294373,0.27347007393836975,1877.1143798828125,16706.997999999992
1,1003,6,0.7520374059677124,0.6679152250289917,0.08412215113639832,0.08516688644886017,0.8465592265129089,NA,0.8091893196105957,0.1908106803894043,0.2573382258415222,0.7066915035247803,23.4089298248291,0.5525972843170166,0.05607498064637184,1082.960205078125,14875.581999999999
1,1003,7,0.4500870108604431,0.41813603043556213,0.03195097669959068,0.04407637566328049,0.8730432391166687,NA,0.632818877696991,0.36718109250068665,0.17866860330104828,0.8377994298934937,18.460330963134766,0.48913976550102234,NA,612.86346435546875,11037.659
1,1004,1,0.8142698407173157,0.7578572630882263,0.056412599980831146,0.10472238808870316,NA,NA,0.7063113451004028,0.29368865489959717,0.1619289666414261,0.764740526676178,51.094356536865234,0.5114706158638,0.58237624168396,1565.3580322265625,6880.945
