id,cases_de_2020_02_29
1001,0
1002,0
1003,1
1004,0
1051,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
2000,2
3101,0
3102,0
3103,0
3151,0
3153,0
3154,0
3155,0
3157,0
3158,0
3159,0
3241,1
3251,0
3252,0
3254,0
3255,0
3256,0
3257,0
3351,0
3352,0
3353,0
3354,0
3355,0
3356,0
3357,0
3358,0
3359,0
3360,0
3361,0
3401,0
3402,0
3403,0
3404,0
3405,0
3451,0
3452,0
3453,0
3454,0
3455,0
3456,0
3457,0
3458,0
3459,0
3460,0
3461,0
3462,0
4011,1
4012,0
5111,0
5112,2
5113,0
5114,0
5116,1
5117,0
5119,0
5120,0
5122,0
5124,0
5154,0
5158,0
5162,0
5166,0
5170,0
5314,1
5315,0
5316,0
5334,4
5358,0
5362,0
5366,0
5370,59
5374,0
5378,0
5382,0
5512,0
5513,0
5515,0
5554,0
5558,0
5562,0
5566,0
5570,0
5711,0
5754,0
5758,0
5762,0
5766,0
5770,0
5774,0
5911,0
5913,0
5914,0
5915,0
5916,0
5954,0
5958,0
5962,1
5966,0
5970,0
5974,0
5978,0
6411,0
6412,3
6413,0
6414,0
6431,0
6432,0
6433,1
6434,1
6435,0
6436,0
6437,0
6438,0
6439,0
6440,0
6531,2
6532,1
6533,0
6534,0
6535,0
6611,0
6631,0
6632,0
6633,0
6634,0
6635,0
6636,0
7111,0
7131,0
7132,0
7133,0
7134,0
7135,0
7137,0
7138,0
7140,0
7141,0
7143,0
7211,0
7231,0
7232,0
7233,0
7235,0
7311,0
7312,0
7313,0
7314,0
7315,0
7316,0
7317,0
7318,0
7319,0
7320,0
7331,0
7332,0
7333,0
7334,0
7335,2
7336,0
7337,0
7338,0
7339,0
7340,0
8111,0
8115,1
8116,0
8117,2
8118,1
8119,0
8121,0
8125,1
8126,0
8127,0
8128,0
8135,0
8136,0
8211,0
8212,0
8215,1
8216,0
8221,0
8222,0
8225,0
8226,1
8231,0
8235,0
8236,0
8237,0
8311,2
8315,3
8316,0
8317,0
8325,1
8326,0
8327,0
8335,0
8336,0
8337,0
8415,0
8416,2
8417,0
8421,0
8425,0
8426,0
8435,0
8436,0
8437,0
9161,0
9162,2
9163,0
9171,0
9172,0
9173,0
9174,0
9175,1
9176,0
9177,0
9178,0
9179,3
9180,0
9181,0
9182,0
9183,0
9184,3
9185,0
9186,0
9187,1
9188,3
9189,4
9190,0
9261,0
9262,0
9263,0
9271,0
9272,0
9273,0
9274,0
9275,0
9276,0
9277,0
9278,0
9279,0
9361,0
9362,0
9363,0
9371,0
9372,0
9373,0
9374,0
9375,0
9376,0
9377,0
9461,0
9462,0
9463,0
9464,0
9471,0
9472,0
9473,0
9474,0
9475,0
9476,0
9477,0
9478,0
9479,0
9561,0
9562,1
9563,0
9564,0
9565,0
9571,0
9572,0
9573,0
9574,0
9575,0
9576,0
9577,0
9661,0
9662,0
9663,0
9671,0
9672,0
9673,0
9674,0
9675,0
9676,0
9677,0
9678,0
9679,0
9761,0
9762,0
9763,0
9764,0
9771,0
9772,0
9773,0
9774,0
9775,0
9776,0
9777,0
9778,0
9779,0
9780,0
10041,0
10042,0
10043,0
10044,0
10045,0
10046,0
12051,0
12052,0
12053,0
12054,0
12060,0
12061,0
12062,0
12063,0
12064,0
12065,0
12066,0
12067,0
12068,0
12069,0
12070,0
12071,0
12072,0
12073,0
13003,0
13004,0
13071,0
13072,0
13073,0
13074,0
13075,0
13076,0
14511,0
14521,0
14522,0
14523,0
14524,0
14612,0
14625,0
14626,0
14627,0
14628,0
14713,0
14729,0
14730,0
15001,0
15002,0
15003,0
15081,0
15082,0
15083,0
15084,0
15085,0
15086,0
15087,0
15088,0
15089,0
15090,0
15091,0
16051,0
16052,0
16053,0
16054,0
16055,0
16056,0
16061,0
16062,0
16063,0
16064,0
16065,0
16066,0
16067,0
16068,0
16069,0
16070,0
16071,0
16072,0
16073,0
16074,0
16075,0
16076,0
16077,0
